English Name,Latitude,Longitude,Hebrew Name,English Name,Alt English Names,UID,,,,,
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter
Sydney,-33.8688197,151.2092955,סידניי,Sydney,,AU-00002,,,,,
"Melbourne, Australia",-37.8136276,144.9630576,מלבורן,"Melbourne, Australia",,AU-00003,,,,,
"Melbourne, Australia",-37.8136276,144.9630576,מעלבארן,"Melbourne, Australia",,AU-00003,,,,,
"Baku, Azerbaijan",40.4092617,49.8670924,באקו,"Baku, Azerbaijan","Bakı , Baku ",AZ-00001,,,,,
"Vasilyevka, Azerbaijan",41.4818164,48.920139,וואסילעווקע,"Vasilyevka, Azerbaijan",,AZ-00013,,,,,
Bosnia,43.915886,17.679076,בוסנא,Bosnia,,BA-00000,,,,,
Bosnia,43.915886,17.679076,בוסנייא,Bosnia,,BA-00000,,,,,
"Sarajevo, Bosnia-Herzegovina",43.85,18.38333333,סאראיי,"Sarajevo, Bosnia-Herzegovina","Sarajevo , Szarajevó , Sarajewo , Saraybosna , Vrh Bosna, Bosna-Sarai",BA-00001,,,,,
"Sarajevo, Bosnia-Herzegovina",43.85,18.38333333,סאראיעווע,"Sarajevo, Bosnia-Herzegovina","Sarajevo , Szarajevó , Sarajewo , Saraybosna , Vrh Bosna, Bosna-Sarai",BA-00001,,,,,
"Sarajevo, Bosnia-Herzegovina",43.85,18.38333333,סעראיעווא,"Sarajevo, Bosnia-Herzegovina","Sarajevo , Szarajevó , Sarajewo , Saraybosna , Vrh Bosna, Bosna-Sarai",BA-00001,,,,,
"Sarajevo, Bosnia-Herzegovina",43.85,18.38333333,שאראי,"Sarajevo, Bosnia-Herzegovina","Sarajevo , Szarajevó , Sarajewo , Saraybosna , Vrh Bosna, Bosna-Sarai",BA-00001,,,,,
